TIT	front	intro	m2jl	TIT_front_intro_m2jl		# Introduction à Tite<br><br>## 1e partie : Introduction générale<br><br>### Aperçu du livre de Tite<br><br>1. Paul ordonne à Tite de nommer des chefs pieux. (phrases 1 à 9/30)<br>2. Paul ordonne à Tite de former les gens à vivre une vie pieuse. (phrases 10 à 24/30)<br>3. Paul termine en partageant certains de ses plans et en envoyant des salutations à divers croyants. (phrases 25 à 30/30)<br><br>### Qui a écrit le livre de Tite ?<br><br>Paul a écrit le livre de Tite. Paul était de la ville de Tarse. Il avait été connu sous le nom de Saul au début de sa vie. Avant de devenir chrétien, Paul était un pharisien. Il a persécuté les chrétiens. Après être devenu chrétien, il a voyagé plusieurs fois à travers l’Empire Romain pour parler de Jésus aux gens.<br><br>### De quoi parle le livre de Tite ?<br><br>Paul a écrit cette lettre à Tite, son compagnon de travail, qui dirigeait les églises de l’île de Crète. Paul l’a instruit sur la sélection des dirigeants de l’église. Paul a également décrit comment les croyants devraient se comporter les uns envers les autres. Il les a tous encouragés à vivre d’une manière qui plaît à Dieu.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, « Tite ». Ou bien, ils peuvent choisir un titre plus clair, comme « Lettre de Paul à Tite » ou « Une lettre à Tite ». (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## 2e partie : Concepts religieux et culturels importants<br><br>### Dans quels rôles les gens peuvent-ils servir au sein de l’Église ?<br><br>Il y a quelques enseignements dans le livre de Tite sur la question de savoir si une femme ou un homme divorcé peut occuper des postes de direction au sein de l’église. Les érudits sont en désaccord sur le sens de ces enseignements. Une étude plus approfondie de ces questions pourrait être nécessaire avant de traduire ce livre.<br><br>## 3e partie : Problèmes importants de traduction<br><br>### Le singulier et le pluriel du pronom personnel de la deuxième personne<br><br>Dans ce livre, le mot *Je* fait référence à Paul. Mais le mot *tu* est presque toujours au singulier et fait référence à Tite. Il y a une exception dans la dernière phrase (30/30), où Paul s’adresse à tous les Chrétiens de l’île de Crète qui sont avec Tite. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] and [[rc://fr/ta/man/translate/figs-you]])<br><br>### Que signifie **Dieu notre Sauveur** ?<br><br>C’est une expression courante dans cette lettre. Paul voulait faire réfléchir les lecteurs sur la façon dont Dieu leur a pardonné en Christ d’avoir péché contre lui, et en leur pardonnant, il les a sauvés de la punition qui viendra lorsqu’il jugera tout le monde. Une expression semblable dans cette lettre est *notre grand Dieu et Sauveur Jésus-Christ*.
TIT	1	intro	c7me	TIT_1_intro_c7me		# Tite 1. Notes génerales<br><br>## Structure et forme<br><br>Paul introduit formellement cette lettre dans les versets 1-4. Les écrivains commençaient souvent des lettres de cette façon dans l’ancien Proche-Orient.<br><br>Aux versets 6-9, Paul énumère plusieurs qualités qu’un homme doit avoir s’il veut être un ancien dans l’église (Voir : rc://fr/ta/man/translate/figs-abstractnouns) Paul donne une liste comparable dans 1 Timothée 3.<br><br>## Concepts spéciaux de ce chapitre<br><br>### Ancien<br><br>L’église a utilisé des titres divers pour ses dirigeants. Quelques-uns de ces titres comprennent surveillant, ancien, pasteur et évêque.<br><br>## Autres difficultés de traduction possibles dans ce chapitre<br><br>### Devrait, peut, doit<br><br>Le GLT utilise des mots différents qui indiquent des exigences ou des obligations. Ces verbes ont des niveaux de force différents auxquels ils sont associés. Ces différences subtiles pourraient être difficiles à traduire. Le GST traduit ces verbes de manière plus générale.
TIT	1	1	rtc9	TIT_1_1_rtc9	κατὰ πίστιν	*La foi* est un nom abstrait qui désigne la confiance placée en Jésus. Si c’est plus clair dans votre langue, vous pouvez le traduire avec un verbe comme par exemple : « pour renforcer la foi » ou « aider [le peuple élu de Dieu] à lui faire davantage confiance ». (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	1	xyz8	TIT_1_1_xyz8	ἐπίγνωσιν	La *connaissance* est un nom abstrait. Si c’est plus clair dans votre langue, vous pouvez utiliser un verbe tel que « connaître ». Paul veut que les gens connaissent le vrai message au sujet de Dieu et de Christ afin qu’ils puissent vivre d’une manière qui plaise à Dieu. (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	1	abc8	TIT_1_1_abc8	ἀληθείας	La *vérité* est un nom abstrait. Si c’est plus clair dans votre langue, vous pouvez utiliser l’adjectif “vrai” comme dans les expressions “ce qui est vrai” ou “le vrai message”. (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	1	fyf8	TIT_1_1_fyf8	τῆς κατ’ εὐσέβειαν	La **piété** est un nom abstrait qui fait référence à une mode de vie qui plaît à Dieu. Traduction alternative : “qui convient pour honorer Dieu” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	2	xyz9	TIT_1_2_xyz9	ἐπ’ ἐλπίδι ζωῆς αἰωνίου	“qui nous donne l’espérance solide de la vie éternelle” ou “basé sur notre espérance de la vie éternelle”
TIT	1	2	r2gj	TIT_1_2_r2gj	πρὸ χρόνων αἰωνίων	C’est-à-dire, « avant le début du temps ».
TIT	1	3	b22h	TIT_1_3_b22h	καιροῖς ἰδίοις	C’est-à-dire, « en son temps », « au moment approprié », « au moment fixé », « au temps propice ».
TIT	1	3	swi9	TIT_1_3_swi9	ἐφανέρωσεν…τὸν λόγον αὐτοῦ	Paul parle de la parole de Dieu comme si c’était un objet qui pouvait être visiblement montré aux gens. Traduction alternative : « Il m’a fait comprendre son message ». (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	3	abc9	TIT_1_3_abc9	ἐν κηρύγματι	“par la proclamation du message”
TIT	1	3	m41u	TIT_1_3_m41u	ὃ ἐπιστεύθην ἐγὼ	Vous pouvez le dire à la voix active : « il m’a confié la responsabilité de prêcher ».  (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
TIT	1	3	dpn4	TIT_1_3_dpn4	τοῦ Σωτῆρος ἡμῶν, Θεοῦ	Traduction alternative : « de Dieu, qui nous sauve ». Paul, Tite et tous les chrétiens sont inclus.
TIT	1	3	xy18	TIT_1_3_xy18	ἡμῶν	Paul, Tite et tous les chrétiens sont inclus. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	1	4	gu55	TIT_1_4_gu55	γνησίῳ τέκνῳ	Tite n’était pas le fils biologique de Paul, mais ils partageaient une foi commune en Christ. Paul considère que la relation avec Christ par la foi est plus importante que la relation biologique. Donc, à cause de leurs âges relatifs et de la foi qu’ils partageaient en Christ, Paul considère Tite comme son propre fils. Il se peut aussi que Paul ait conduit Tite à la foi en Christ, et ainsi Tite est comme un fils dans le sens spirituel. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	4	wx6c	TIT_1_4_wx6c	κοινὴν πίστιν	Paul et Tite partagent la même foi dans le Christ.
TIT	1	4	h93t	TIT_1_4_h93t	χάρις καὶ εἰρήνη	C’était une salutation courante que Paul utilisait. (Voir : [[rc://fr/ta/man/translate/figs-ellipsis]])
TIT	1	4	s3yr	TIT_1_4_s3yr	Χριστοῦ Ἰησοῦ τοῦ Σωτῆρος ἡμῶν	Traduction alternative : « Jésus Christ qui est notre Sauveur ». Paul, Tite et tous les chrétiens sont inclus.
TIT	1	4	xy17	TIT_1_4_xy17	ἡμῶν	Paul, Tite et tous les chrétiens sont inclus. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
TIT	1	5	ew8h	TIT_1_5_ew8h	τούτου χάριν	L’expression *Pour cette raison* introduit le but que Paul voulait accomplir lorsqu’il a laissé Tite en Crète (= pour ordonner des anciens dans l’église). Tite savait ce que Paul voulait qu’il fasse. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-goal]])
TIT	1	5	lh9b	TIT_1_5_lh9b	ἀπέλιπόν σε ἐν Κρήτῃ	C’est-à-dire, « Je t’ai dit de rester en Crète ».
TIT	1	5	ga62	TIT_1_5_ga62	ἵνα τὰ λείποντα ἐπιδιορθώσῃ	L’instruction de Paul *afin que tu mettes en ordre les affaires restantes* pourrait être reformulée de manière positive (exemple : « afin que tu finisses d’organiser les choses qui doivent encore être complétées »), si c’est plus naturel dans votre langue.
TIT	1	5	b52u	TIT_1_5_b52u	καταστήσῃς…πρεσβυτέρους	Les instructions de Paul à Tite impliquent qu’il doit non seulement  « choisir » ou « désigner » des anciens, mais aussi les « ordonner » et les « placer en poste ». Dans les premières églises chrétiennes, les anciens donnaient une direction spirituelle aux assemblées des croyants. Le mot « ancien » fait référence à des personnes matures dans la foi.
TIT	1	5	p56w	TIT_1_5_p56w	πρεσβυτέρους	Dans les premières églises chrétiennes, les anciens donnaient une direction spirituelle aux assemblées des croyants. Le mot « ancien » fait référence à des personnes matures dans la foi.
TIT	1	6	wja4	TIT_1_6_wja4		Après avoir dit à Tite d’ordonner des anciens dans chaque ville de l’île de Crète, Paul détaille ses exigences pour les anciens.
TIT	1	6	jen8	TIT_1_6_jen8	εἴ τίς ἐστιν ἀνέγκλητος	C’est le début de la description du caractère d’un ancien. Tite doit choisir des hommes qui correspondent à cette description. Être *irréprochable*, c’est être connu comme une personne qui ne mérite aucune accusation. Traduction alternative : « un ancien doit être irrépréhensible » ou « un ancien doit être quelqu’un qu’on ne peut pas blâmer ».
TIT	1	6	ab70	TIT_1_6_ab70	ἀνέγκλητος	Être **irréprochable**, c’est être connu comme une personne qui ne mérite aucune accusation. Traduction alternative : “irrépréhensible”. Vous pouvez dire d’une manière positive : “une personne qui a une bonne réputation”. (Voir : [[rc://fr/ta/man/translate/figs-doublenegatives]])
TIT	1	6	q6uy	TIT_1_6_q6uy	μιᾶς γυναικὸς ἀνήρ	Cela signifie qu’il n’a qu’une seule épouse, c’est-à-dire qu’il n’a pas d’autres épouses ou concubines. Cela signifie aussi qu’il ne commet pas d’adultère. (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
TIT	1	6	wd6q	TIT_1_6_wd6q	τέκνα…πιστά	L’expression “des enfants fidèles” peut être interprétée par “des enfants qui croient en Jésus” ou encore par “des enfants qui sont dignes de confiance”.
TIT	1	7	lz7x	TIT_1_7_lz7x	τὸν ἐπίσκοπον	Le mot traduit par *évêque* désigne la même position spirituelle de leadership que le mot traduit par *ancien* dans la phrase précédente (2/30). Ce terme se concentre sur la fonction de l’ancien : il supervise les activités et les personnes de l’église.
TIT	1	7	g2zf	TIT_1_7_g2zf	Θεοῦ οἰκονόμον	Paul parle de l’église comme si c’était la maison de Dieu, et le surveillant comme s’il était un serviteur en charge de la gestion de cette maison. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	7	d6l1	TIT_1_7_d6l1	μὴ πάροινον	Paul ne parle pas d’une personne qui boit du vin pendant son repas ou de temps en temps, mais d’une personne qui boit trop de vin, trop souvent.
TIT	1	7	j1qq	TIT_1_7_j1qq	μὴ πλήκτην	L’adjectif *violent* implique que la personne aime se battre et aussi se disputer. 
TIT	1	8	i549	TIT_1_8_i549	ἀλλὰ	Le mot de connexion **Au contraire** introduit un contraste entre ce qu’un ancien ne doit pas être (ce que Paul a déjà dit), et ce qu’un ancien doit être (ce que Paul est sur le point d’énoncer). (voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	8	vkq1	TIT_1_8_vkq1	φιλάγαθον	Un *ami du bien* est une personne qui aime faire le bien.
TIT	1	8	xy11	TIT_1_8_xy11	σώφρονα…ἐγκρατῆ	Les deux expressions *modéré* et *maître de lui* ont une signification très proche. Si votre langue cible n’a pas deux termes semblables, vous pouvez les remplacer par une seule expression (exemple : *ayant le contrôle de lui-même*). (Voir : [[rc://fr/ta/man/translate/figs-doublet]])
TIT	1	8	xy12	TIT_1_8_xy12	δίκαιον, ὅσιον	These two terms are very similar in meaning and may be translated by one term if the target language does not have two similar terms. (See: [[rc://fr/ta/man/translate/figs-doublet]])
TIT	1	9	xwy6	TIT_1_9_xwy6	ἀντεχόμενον	Paul parle de la vérité de la Parole comme s’il était possible de s’y accrocher fermement à deux mains. Traduction alternative : « Il doit être dévoué à » ou « Il doit être enraciné dans la foi en la parole ». <br>(Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	9	xy10	TIT_1_9_xy10	κατὰ τὴν διδαχὴν	Paul dit à Tite que la Parole en laquelle un ancien croit et enseigne doit être en accord avec celle que nous enseignons.
TIT	1	9	abcj	TIT_1_9_abcj	ἵνα	L’expression *afin que* indique un objectif. L’objectif de l’ancien est de s’accrocher fermement au message digne de confiance, pour qu’il soit capable d’encourager les autres et de réprimander ceux qui s’opposent à lui. Utilisez un connecteur dans votre langue qui montre clairement cet objectif. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-goal]])
TIT	1	9	pzi1	TIT_1_9_pzi1	τῇ διδασκαλίᾳ τῇ ὑγιαινούσῃ	Le mot *sain* fait normalement référence à la santé physique. Paul parle de cet enseignement comme s’il permettait à ceux qui y croient d’être spirituellement sains.
TIT	1	10	xsq9	TIT_1_10_xsq9		À cause de ceux qui s’opposeront à la parole de Dieu, Paul donne à Tite des raisons de prêcher la parole de Dieu et le met en garde contre les faux enseignants.<br><br><br><br>
TIT	1	10	w9kk	TIT_1_10_w9kk	ἀνυπότακτοι, ματαιολόγοι	Le mot *bavards* s’applique aux personnes qui disent des phrases vides de sens, des phrases qui n’ont pas de substance. Les *trompeurs* sont des personnes qui essaient activement de convaincre les gens de croire en quelque chose d’autre que l’Évangile que Paul prêche. (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	10	ga6n	TIT_1_10_ga6n	φρεναπάται	Les *trompeurs* sont des personnes qui essaient activement de convaincre les gens de croire en quelque chose d’autre que l’Évangile que Paul prêche. 
TIT	1	10	abcd	TIT_1_10_abcd	ματαιολόγοι, καὶ φρεναπάται	**Les bavards** et les **séducteurs** font tous deux référence à des personnes qui enseignaient des choses fausses et sans valeur et voulaient que les gens les croient. (Voir : [[rc://fr/ta/man/translate/figs-hendiadys]])
TIT	1	10	pu74	TIT_1_10_pu74	οἱ ἐκ τῆς περιτομῆς	Selon Paul, beaucoup de bavards et de trompeurs étaient des chrétiens juifs qui enseignaient à tort que les hommes doivent être circoncis comme eux pour suivre Christ. (Voir: [[rc://fr/ta/man/translate/figs-metonymy]])
TIT	1	11	f4iy	TIT_1_11_f4iy	οὓς δεῖ ἐπιστομίζειν	Paul dit qu’il faut arrêter les gens rebelles et que Tite et les anciens qu’il va nommer devront le faire ; pour rendre la phrase plus explicite et plus naturelle, vous devrez peut-être ajouter le sujet implicite et remplacer le pronom objet direct “les”. Traduction alternative : “Tite et les anciens, vous devez empêcher les gens rebelles de répandre leurs enseignements parmi les croyants” ou “quelqu’un doit empêcher les gens rebelles d’influencer les croyants par leurs paroles”
TIT	1	11	aqi5	TIT_1_11_aqi5	ὅλους οἴκους ἀνατρέπουσιν	Le problème causé par les bavards et les séducteurs, c’est qu’ils détournaient les familles de la vérité et détruisaient leur foi.
TIT	1	11	tw4e	TIT_1_11_tw4e	διδάσκοντες ἃ μὴ δεῖ	C’est-à-dire, « Ce sont des choses qu’on ne doit pas enseigner concernant Christ et la Loi parce qu’elles ne sont pas vraies ».
TIT	1	11	at7c	TIT_1_11_at7c	αἰσχροῦ κέρδους χάριν	L’expression *un gain honteux* n’est peut-être pas claire dans votre langue. L’adjectif *honteux* s’applique à ce qu’ils ont fait pour gagner de l’argent, mais pas à l’argent lui-même. La Traduction Sémantique clarifie cela en mettant *honteux* dans une phrase distincte.
TIT	1	12	tr1j	TIT_1_12_tr1j	τις ἐξ αὐτῶν, ἴδιος αὐτῶν προφήτης	Paul détourne son attention des gens rebelles parmi les chrétiens de Crète, et parle maintenant de quelqu’un que les Crétois croyaient être un prophète. Il se réfère à lui comme *un parmi eux*, ce qui implique qu’il était un Crétois.
TIT	1	12	y3zb	TIT_1_12_y3zb	Κρῆτες ἀεὶ ψεῦσται	C’est une exagération qui signifie que les Crétois avaient la réputation d’être des menteurs. (Voir : [[rc://fr/ta/man/translate/figs-hyperbole]])
TIT	1	12	h3jb	TIT_1_12_h3jb	κακὰ θηρία	Cette métaphore compare les Crétois à de dangereux animaux sauvages. Traduction alternative : « Les Crétois sont aussi dangereux que des animaux sauvages ». (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	12	xyz1	TIT_1_12_xyz1	γαστέρες ἀργαί	Le ventre, qui est la partie du corps qui stocke la nourriture, est utilisé ici pour représenter une personne qui mange tout le temps. Traduction alternative : « des gloutons paresseux ». (Voir : [[rc://fr/ta/man/translate/figs-synecdoche]])
TIT	1	13	abck	TIT_1_13_abck	δι’ ἣν αἰτίαν	L’expression *Pour cette raison* introduit une relation raison → résultat. La raison est que ce que le prophète crétois a dit à propos de son peuple est vrai (ce sont des menteurs, des méchants et des paresseux). Le résultat est que Tite devrait les réprimander sévèrement. Traduction alternative : « Pour cette raison, vous devez utiliser un langage très fort quand vous corrigez les Crétois ». (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	fif8	TIT_1_13_fif8	δι’ ἣν αἰτίαν ἔλεγχε αὐτοὺς ἀποτόμως	À cause de la vérité de ce que le prophète crétois a dit, Paul insiste que Tite et les anciens les corrigent rigoureusement. Traduction alternative : “Pour cette raison, vous devez utiliser un langage très fort quand vous corrigez les Crétois”.
TIT	1	13	je3r	TIT_1_13_je3r	ἵνα ὑγιαίνωσιν ἐν τῇ πίστει	Voir la note sur *sain* dans la phrase 3/30. Traduction alternative : « afin qu’ils aient une foi saine » ou « afin que leur foi soit ferme » ou « afin qu’ils croient seulement ce qui est vrai au sujet de Dieu ».
TIT	1	13	abcl	TIT_1_13_abcl	ἵνα	L’expression *afin que* introduit une relation raison → résultat. La raison est que l’ancien réprimande sévèrement les Crétois. Le résultat est que les Crétois deviennent sains dans la foi. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
TIT	1	13	xyz2	TIT_1_13_xyz2	ἐν τῇ πίστει	Ici le nom abstrait **foi** représente les choses que les gens croient au sujet de Dieu. Traduction alternative : “ce qu’ils croient au sujet de Dieu” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
TIT	1	14	abcm	TIT_1_14_abcm	μὴ	L’adverbe de négation, **ne… pas**, introduit un contraste avec l’état d’être “solide dans la foi” dans le verset précédent. Afin d’être sain dans la foi, le peuple ne doit prêter aucune attention aux mythes juifs ou aux commandements de gens qui ne suivent pas la vérité. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	14	p28i	TIT_1_14_p28i	Ἰουδαϊκοῖς μύθοις	Paul compare les mythes judaïques à des faux enseignement des Juifs et à des histoires inventées par les Juifs.
TIT	1	14	m4a5	TIT_1_14_m4a5	ἀποστρεφομένων τὴν ἀλήθειαν	Paul parle de la vérité comme si c’était un objet que les hommes pouvaient contourner ou éviter. Traduction alternative : « les commandements des hommes qui rejettent la vérité ». (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	15	qtb9	TIT_1_15_qtb9	πάντα καθαρὰ τοῖς καθαροῖς	Les personnes pures sont celles qui sont agréables à Dieu. 
TIT	1	15	nx42	TIT_1_15_nx42	τοῖς καθαροῖς	C’est-à-dire “à ceux qui sont acceptables à Dieu”
TIT	1	15	abcn	TIT_1_15_abcn	δὲ	Le mot *Mais* introduit un contraste entre les gens qui sont purs et les gens qui sont corrompus et incroyants. (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	15	n3wk	TIT_1_15_n3wk	τοῖς…μεμιαμμένοις καὶ ἀπίστοις, οὐδὲν καθαρόν	Paul utilise la métaphore d’une personne physiquement sale en parlant d’une personne moralement souillée et qui ne croit pas. Il dit de ces personnes « qu’elles ne peuvent rien faire de pur » ou « que lorsque les gens sont pleins de péché et d’incrédulité, rien de ce qu’ils font n’est acceptable pour Dieu » (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
TIT	1	16	abco	TIT_1_16_abco	δὲ	Le mot *mais* introduit un contraste entre ce que ces personnes corrompues disent (elles connaissent Dieu) et ce que leurs actions manifestent (elles ne connaissent pas Dieu). (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-contrast]])
TIT	1	16	i3l2	TIT_1_16_i3l2	τοῖς…ἔργοις ἀρνοῦνται	Le verbe *renier* exprime l’idée de ne plus croire en Dieu comme le vrai Dieu ; Paul dit que les actions des Crétois montrent qu’ils ne croient plus en Dieu. Traduction alternative : “leurs actions montrent qu’ils ne croient plus en Dieu”  
TIT	1	16	ja47	TIT_1_16_ja47	βδελυκτοὶ ὄντες	On peut aussi dire qu’ils sont odieux, haïssables, exécrables. Traduction alternative : “odieux” 
TIT	2	intro	h3il	TIT_2_intro_h3il		# Tite 2 Remarques générales<br><br>## Concepts spéciaux dans ce chapitre<br><br>### Les rôles des hommes et des femmes<br><br>Les savants sont divisés sur la façon de comprendre ce passage dans son contexte historique et culturel. Certains érudits croient que les hommes et les femmes sont parfaitement égaux en toutes choses. D’autres croient que Dieu a créé les hommes et les femmes pour qu’ils remplissent des rôles distinctement différents dans le mariage et dans l’église. Les traducteurs doivent faire attention à ne pas laisser la façon dont ils comprennent ce problème affecter la façon dont ils traduisent ce passage.<br><br>### L’esclavage<br><br>Paul ne nous dit pas dans ce chapitre si l’esclavage est bon ou mauvais. Il enseigne aux esclaves à servir fidèlement leurs maîtres. Il enseigne à tous les croyants d’être pieux et de vivre correctement dans toutes les situations.
TIT	2	1	lfu1	TIT_2_1_lfu1		Paul continue de donner des instructions à Tite pour prêcher la parole de Dieu, et il explique comment les hommes et les femmes plus âgés, les jeunes hommes et les esclaves ou serviteurs devraient vivre en tant que croyants.
TIT	2	1	tpi2	TIT_2_1_tpi2	σὺ δὲ	Ici, le pronom “toi” est au singulier et fait référence à Tite. Si c’est plus clair, vous pouvez inclure le nom “Tite” comme dans l’UST ([[rc://fr/ta/man/translate/figs-explicit]])
TIT	2	1	ph2j	TIT_2_1_ph2j	τῇ ὑγιαινούσῃ διδασκαλίᾳ	Voir la note de la phrase 3/30. Traduction alternative : « à une saine doctrine » ou « à des enseignements corrects ».
TIT	2	2	xyz3	TIT_2_2_xyz3	πρεσβύτας…εἶναι	Le grec s’exprime ici avec le verbe *être* seulement, mais en français il faut ajouter un verbe introducteur. N’hésitez donc pas à le faire dans votre langue si nécessaire. (Voir : [[rc://fr/ta/man/translate/figs-ellipsis]])
TIT	2	2	xy13	TIT_2_2_xy13	νηφαλίους…σεμνούς, σώφρονας	Ces trois adjectifs ont une signification très proche et peuvent être combinés en un ou deux si votre langue cible n’a pas trois adjectifs distincts. L’adjectif traduit ici par *modérés* s’applique à un homme qui pense et agit avec bon sens, qui réfléchit avant d’agir. Traduction alternative : « doivent être… capables de contrôler leurs désirs ». (Voir : [[rc://fr/ta/man/translate/figs-doublet]])
TIT	2	2	xc6t	TIT_2_2_xc6t	νηφαλίους	On pourrait dire “sobre d’esprit” ou “maître de soi” si c’est plus naturel dans la langue cible.
TIT	2	2	y3j2	TIT_2_2_y3j2	εἶναι…σώφρονας	L’adjectif traduit ici par *modérés* s’applique à un homme qui pense et agit avec bon sens, qui réfléchit avant d’agir. Traduction alternative : « doivent être… capable de contrôler leurs désirs ».
TIT	2	2	abc1	TIT_2_2_abc1	ὑγιαίνοντας τῇ πίστει	Voir la note de la phrase 3/30.
TIT	2	2	m14y	TIT_2_2_m14y	ὑγιαίνοντας τῇ πίστει	Vous pouvez utiliser le nom abstrait “la foi” comme un verbe si c’est plus clair dans votre langue. Traduction alternative : “des hommes qui croient totalement aux vrais enseignements au sujet de Dieu” (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	2	z14y	TIT_2_2_z14y	τῇ ἀγάπῃ	Vous pouvez utiliser le nom abstrait “amour” comme un verbe si cela est plus clair dans votre langue comme dans le GST. (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	2	a14y	TIT_2_2_a14y	τῇ ὑπομονῇ	Vous pouvez remplacer le nom abstrait **persévérance** par un verbe si cela est plus clair dans votre langue. Par exemple : “et persévérer au service de Dieu même lorsque c’est difficile”. (Voir : \[rc://fr/ta/man/translate/figs-abstractnouns\])
TIT	2	3	gl8e	TIT_2_3_gl8e	πρεσβύτιδας ὡσαύτως	Le grec s’exprime ici avec le verbe *être* seulement, mais en français il faut ajouter un verbe introducteur. N’hésitez donc pas à le faire dans votre langue si nécessaire. (Voir : \[rc://fr/ta/man/translate/figs-ellipsis\])
